Keyboard;Mode;Participant;Phrase;NbChar;Duree;Correct;NbErrors;NbPredictionUsed;predCharRatio;CharParSec;Distance
TROIS;TRAIN;1;TON;3;4.105;true;0;0;0.0%;0.730816077953715;276.42305988999703
TROIS;TRAIN;1;PARFUM;6;10.296;true;0;3;50.0%;0.5827505827505828;767.30677726837
TROIS;TRAIN;1;A;1;11.406;true;0;0;0.0%;0.08767315448009819;814.30677726837
TROIS;TRAIN;1;L'ODEUR;7;16.415;true;0;2;28.57143%;0.4264392324093817;1307.2004001822772
TROIS;TRAIN;1;DU;2;17.927;true;0;0;0.0%;0.11156356334021308;1439.2004001822772
TROIS;TRAIN;1;JASMIN;6;25.248;true;0;2;33.333336%;0.23764258555133078;1884.5000579926693
TROIS;TRAIN;1;L'HIVER;7;7.283;true;0;4;57.14286%;0.9611423863792393;485.76379547453536
TROIS;TRAIN;1;EST;3;9.27;true;0;1;33.333336%;0.3236245954692557;712.6443811795309
TROIS;TRAIN;1;FROID;5;14.565;true;0;3;60.000004%;0.34328870580157916;1084.5241007124675
TROIS;TRAIN;1;CETTE;5;17.839;true;0;3;60.000004%;0.28028476932563484;1276.5381607804238
TROIS;TRAIN;1;ANNÉE;5;23.529;true;0;2;40.0%;0.21250371881507926;1618.5007262436002
TROIS;TRAIN;1;MAMAN;5;7.336;true;1;1;20.0%;0.6815703380588877;707.1292566551684
TROIS;TRAIN;1;VA;2;9.28;true;0;0;0.0%;0.21551724137931036;923.4219026856443
TROIS;TRAIN;1;ACHETER;7;15.341;true;0;5;71.42857%;0.4562935923342677;1199.5514712698766
TROIS;TRAIN;1;DES;3;17.177;true;0;1;33.333336%;0.17465215113232813;1377.4427747229167
TROIS;TRAIN;1;PLACES;6;24.482;true;0;3;50.0%;0.2450780165019198;1903.8098161566534
TROIS;TRAIN;1;POUR;4;27.078;true;0;3;75.0%;0.14772139744441984;2095.8238762246096
TROIS;TRAIN;1;UN;2;29.347;true;0;1;50.0%;0.06815006644631479;2272.775030453078
TROIS;TRAIN;1;CONCERT;7;33.375;true;0;6;85.71429%;0.20973782771535582;2569.507031147457
